drug_clean,smiles
ACETAMINOPHEN AND CODEINE,CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4C1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O
ACETAMINOPHEN AND IBUPROFEN,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)NC1=CC=C(C=C1)O
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ACETAMINOPHEN\ASPIRIN\CAFFEINE,
ACETAMINOPHEN\BUTALBITAL\CAFFEINE,
ACETAMINOPHEN\CAFFEINE\CHLORPHENIRAMINE,
ACETAMINOPHEN\CAFFEINE\GUAIFENESIN\PHENYLEPHRINE,
ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE\PSEUDOEPHEDRINE,
ACETAMINOPHEN\CHLORPHENIRAMINE\DEXTROMETHORPHAN\PHENYLEPHRINE,
ACETAMINOPHEN\CHLORPHENIRAMINE\DEXTROMETHORPHAN\PSEUDOEPHEDRINE,
ACETAMINOPHEN\CODEINE PHOSPHATE,
ACETAMINOPHEN\DEXCHLORPHENIRAMINE MALEATE,
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE,
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\PHENYLEPHRINE HYDROCHLORIDE,
ACETAMINOPHEN\GUAIFENESIN,
ACETAMINOPHEN\HYDROCODONE,
ACETAMINOPHEN\HYDROCODONE BITARTRATE,
ACETAMINOPHEN\IBUPROFEN,
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,
ACETAMINOPHEN\TRAMADOL,
ACETAZOLAMIDE,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
ACETIC ACID,CC(=O)O
ACETIC ACID\DEXAMETHASONE\NEOMYCIN SULFATE,
ACETIC ACID\WATER,
ACETYLCYSTEINE,CC(=O)N[C@@H](CS)C(=O)O
ACID CONCENTRATE D,
ACIPHEX,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3[N-]2)OCCCOC.[Na+]
ACITRETIN,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC
ACLASTA,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
ACLIDINIUM BROMIDE,C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE,
ACOLTREMON,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C
ACORAMIDIS,CC1=C(C(=NN1)C)CCCOC2=C(C=CC(=C2)C(=O)O)F
ACTEMRA,
ACTEMRA ACTPEN,
ACTHAR,C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]6CCCN6C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]7CCCN7C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC8=CNC9=CC=CC=C98)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CO)N
ACTIQ,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
ACTIVASE,
ACTIVELLA,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
ACTOS,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
ACTRAPHANE,
ACTRAPID,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN
ACULAR,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O.C(C(CO)(CO)N)O
ACUVAIL,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O.C(C(CO)(CO)N)O
ACYCLOVIR,C1=NC2=C(N1COCCO)N=C(NC2=O)N
ACYCLOVIR SODIUM,C1=NC2=C(N1COCCO)N=C(N=C2[O-])N.[Na+]
ADAGRASIB,CN1CCC[C@H]1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)C(=C)F
ADAKVEO,
ADALIMUMAB,
ADALIMUMAB-AACF,
ADALIMUMAB-AATY,
ADALIMUMAB-ADAZ,
ADALIMUMAB-ADBM,
ADALIMUMAB-BWWD,
ADALIMUMAB-RYVK,
ADAPALENE,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
ADAPALENE\BENZOYL PEROXIDE,
ADBRY,
ADCETRIS,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@H](C)[C@H](C2=CC=CC=C2)O)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C(=O)OCC3=CC=C(C=C3)NC(=O)[C@H](CCCNC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)CCCCCN4C(=O)CC(C4=O)S
ADCIRCA,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
ADDERALL,
ADDERALL XR,CC(CC1=CC=CC=C1)N
ADDYI,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F
ADEBRELIMAB,
ADEMPAS,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC
ADENOSINE,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
ADMELOG,CC[C@H](C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CS)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)O)NC(=O)CN.C[C@H]([C@@H](C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)O)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC6=CN=CN6)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CS)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC7=CN=CN7)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC8=CC=CC=C8)N)O
ADO-TRASTUZUMAB EMTANSINE,
ADRENACLICK,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
ADRENALIN,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
ADREVIEW,C1=CC(=CC(=C1)[123I])CN=C(N)N.C1=CC(=CC(=C1)[123I])CN=C(N)N.OS(=O)(=O)O
ADRIAMYCIN,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
ADSTILADRIN,
ADVAIR DISKUS,
ADVAIR HFA,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H](C3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF.C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O
ADVATE,
ADVIL,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
ADVIL ALLERGY SINUS,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
ADVIL COLD AND SINUS,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.Cl
ADVIL DUAL ACTION WITH ACETAMINOPHEN,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)NC1=CC=C(C=C1)O
ADVIL DUAL ACTION WITH ACETAMINOPHEN BACK PAIN,
ADVIL LIQUI-GELS,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
ADVIL MIGRAINE,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
ADVIL MULTI-SYMPTOM COLD AND FLU,
ADVIL PM,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
ADVIL SINUS CONGESTION AND PAIN RELIEF,
ADVIL TARGETED RELIEF,
ADYNOVATE,
ADZYNMA,
AERIUS,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
AFATINIB,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4
AFATINIB DIMALEATE,CN(C/C=C/C(=O)NC1=C(C=C2N=CN=C(C2=C1)NC3=CC(=C(C=C3)F)Cl)O[C@@H]4COCC4)C.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O
AFINITOR,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC
AFLIBERCEPT,
AFLIBERCEPT-AYYH,
AFREZZA,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN
AFRIN ALLERGY SINUS NASAL,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl
AFRIN NO DRIP ORIGINAL PUMP MIST,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl
AFRIN NO DRIP SEVERE CONGESTION,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl
AFRIN ORIGINAL NASAL,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl
AFRIN SEVERE CONGESTION,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl
"AFSTYLA ANTIHEMOPHILIC FACTOR , SINGLE CHAIN",
AFTERA,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
AGALSIDASE BETA,
AGAMREE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@]1(C(=O)CO)O)C)C
AGRYLIN,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3.O.Cl
AIMOVIG,
AIRSUPRA,
AJOVY,
AKEEGA,
AKLIEF,CC(C)(C)C1=C(C=CC(=C1)C2=C(C=CC(=C2)C3=CC=C(C=C3)C(=O)O)OCCO)N4CCCC4
AKOVAZ,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.OS(=O)(=O)O
AKYNZEO,C/C=C(/C=C)\C1=CC(=NC=C1N(C)C(=O)C(C)(C)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)N3CCN(CC3)C.C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5
ALACORT,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
"ALANINE, DL-\ARGININE\CYSTEINE\GLYCINE\HISTIDINE\ISOLEUCINE\LEUCINE\LYSINE\MAGNESIUM ACETATE\METHIONINE\PHENYLALANINE\PHOSPHORIC ACID\POTASSIUM CHLORIDE\POTASSIUM METABISULFITE\PROLINE\SERINE\SODIUM ACETATE\SODIUM CHLORIDE\THREONINE\TRYPTOPHAN\VALINE",
