drug_clean,smiles
DAPRODUSTAT,C1CCC(CC1)N2C(=O)C(C(=O)N(C2=O)C3CCCCC3)C(=O)NCC(=O)O
DAPSONE,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
DAPTOMYCIN,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
DARATUMUMAB,
DARATUMUMAB\HYALURONIDASE-FIHJ,
DARBEPOETIN ALFA,
DAROLUTAMIDE,C[C@@H](CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O
DARTISLA ODT,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-]
DARUNAVIR,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N
DARZALEX,
DARZALEX FASPRO,
DASATINIB,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
DATOPOTAMAB DERUXTECAN,
DATROWAY,
DATSCAN,COC(=O)[C@@H]1[C@H]2CC[C@H](N2CCCF)C[C@@H]1C3=CC=C(C=C3)[123I]
DAUNORUBICIN,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
DAURISMO,CN1CC[C@H](C[C@@H]1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N.C(=C\C(=O)O)\C(=O)O
DAWNZERA,
DAXIBOTULINUMTOXIN A-LANM,
DAXIBOTULINUMTOXINA-LANM,
DAYBUE,C[C@]1(CCCN1C(=O)CN)C(=O)N[C@@H](CCC(=O)O)C(=O)O
DAYTRANA,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
DAYVIGO,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C
DDAVP,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N
DEBLITANE,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
DEBROX,C(=O)(N)N.OO
DECADRON,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
DECITABINE,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O
DEEP FREEZE COOL THERAPY PAIN RELIEF,
DEFENCATH,
DEFERASIROX,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
DEFERIPRONE,CC1=C(C(=O)C=CN1C)O
DEFEROXAMINE,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
DEFEROXAMINE MESYLATE,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O.CS(=O)(=O)O
DEFINITY,C(C(F)(F)F)(C(F)(F)F)(F)F
DEFITELIO,
DEFLAZACORT,CC1=N[C@@]2([C@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C
DEGARELIX,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC2=CC=C(C=C2)NC(=O)N)NC(=O)[C@H](CC3=CC=C(C=C3)NC(=O)[C@@H]4CC(=O)NC(=O)N4)NC(=O)[C@H](CO)NC(=O)[C@@H](CC5=CN=CC=C5)NC(=O)[C@@H](CC6=CC=C(C=C6)Cl)NC(=O)[C@@H](CC7=CC8=CC=CC=C8C=C7)NC(=O)C
DEHYDRATED ALCOHOL,CCO
DEL NIDO CARDIOPLEGIA,
DELFLEX,
DELFLEX WITH DEXTROSE 1.5% LOW MAGNESIUM,
DELFLEX WITH DEXTROSE 1.5% LOW MAGNESIUM LOW CALCIUM,
DELFLEX WITH DEXTROSE 2.5% LOW MAGNESIUM,
DELFLEX WITH DEXTROSE 2.5% LOW MAGNESIUM LOW CALCIUM,
DELFLEX WITH DEXTROSE 4.25% LOW MAGNESIUM LOW CALCIUM,
DELSTRIGO,
DELSYM,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC.Br
DELSYM AND CHILDRENS DELSYM,
DELSYM COUGH,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC.Br
DELSYM NIGHT TIME COUGH AND COLD,
DELTASONE,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
DEMEROL,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2
DEMSER,C[C@](CC1=CC=C(C=C1)O)(C(=O)O)N
DENILEUKIN DIFTITOX,
DENOSUMAB,
DEPAKOTE,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
DEPAKOTE ER,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
DEPAKOTE SPRINKLES,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
DEPO-ESTRADIOL,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O
DEPO-MEDROL,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)C)O
DEPO-PROVERA,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
DEPO-TESTOSTERONE,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=CC(=O)CC[C@]35C
DERMAFUNGAL,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-]
DERMAKLEEN,CC1=CC(=CC(=C1Cl)C)O
DERMASARRA,CC1(C2CCC1(C(=O)C2)C)C
DERMATOPHAGOIDES FARINAE\DERMATOPHAGOIDES PTERONYSSINUS,
DESCOVY,C[C@H](CN1C=NC2=C(N=CN=C21)N)OC[P@@](=O)(N[C@@H](C)C(=O)OC(C)C)OC3=CC=CC=C3.C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
DESFERAL,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O.CS(=O)(=O)O
DESLORATADINE,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
DESMOPRESSIN,C1C[C@H](N(C1)C(=O)[C@@H]2CSSCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)N
DESMOPRESSIN ACETATE,CC(=O)O.C1C[C@H](N(C1)C(=O)[C@@H]2CSSCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)N
DESOGESTREL,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34
DESOGESTREL AND ETHINYL ESTRADIOL,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
DESOGESTREL\ETHINYL ESTRADIOL,
DESONIDE,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@]35C)O
DESOXIMETASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)CO)C)O)F)C
DESVENLAFAXINE,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
DESVENLAFAXINE SUCCINATE,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O.C(CC(=O)O)C(=O)O.O
DETECTNET,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)[C@@H](CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)[O-])CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)O.[64Cu+2]
DETROL,CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
DEUCRAVACITINIB,[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4
DEUTETRABENAZINE,[2H]C([2H])([2H])OC1=C(C=C2[C@@H]3CC(=O)[C@H](CN3CCC2=C1)CC(C)C)OC([2H])([2H])[2H]
DEVICE,
DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
DEXAMETHASONE ACETATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C
DEXAMETHASONE SODIUM PHOSPHATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+]
DEXAMETHASONE\NEOMYCIN SULFATE\POLYMYXIN B SULFATE,
DEXAMETHASONE\NEOMYCIN\POLYMYXIN B SULFATE,
DEXAMETHASONE\TOBRAMYCIN,
DEXEDRINE SPANSULE,C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.OS(=O)(=O)O
DEXILANT,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
DEXKETOPROFEN,C[C@@H](C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
DEXLANSOPRAZOLE,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
DEXMEDETOMIDINE,CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C
DEXMEDETOMIDINE HYDROCHLORIDE,CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C.Cl
DEXMETHYLPHENIDATE,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2
DEXMETHYLPHENIDATE HYDROCHLORIDE,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2.Cl
DEXRAZOXANE,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
DEXTROAMPHETAMINE,C[C@@H](CC1=CC=CC=C1)N
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",
DEXTROAMPHETAMINE SULFATE,C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.OS(=O)(=O)O
DEXTROMETHORPHAN,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC
DEXTROMETHORPHAN HYDROBROMIDE,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC.Br
DEXTROMETHORPHAN HYDROBROMIDE AND PROMETHAZINE HYDROCHLORIDE,
DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN,
DEXTROMETHORPHAN HYDROBROMIDE\QUINIDINE SULFATE,
DEXTROMETHORPHAN POLISTIREX,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC.Br
DEXTROMETHORPHAN\GUAIFENESIN,
DEXTROSE,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
DEXTROSE\LACTIC ACID\MAGNESIUM CL\POTASSIUM CL\SODIUM BICARBONATE\SODIUM CL,
DEXTROSE\SODIUM CHLORIDE,
DIABEX,CN(C)C(=N)N=C(N)N.Cl
DIACOMIT,CC(C)(C)C(/C=C/C1=CC2=C(C=C1)OCO2)O
DIAMOX SEQUELS,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
DIANEAL,
DIANEAL FOR PERITONEAL DIALYSIS,
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,
DIANEAL LOW CALCIUM WITH DEXTROSE,
DIANEAL PD-2 PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,
DIANEAL PD-2 WITH DEXTROSE,
DIANEAL WITH DEXTROSE,
DIAZEPAM,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
DIAZOXIDE,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
DIAZOXIDE CHOLINE,CC1=NC2=C(C=C(C=C2)Cl)S(=O)(=O)[N-]1.C[N+](C)(C)CCO
DICHLORPHENAMIDE,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
DICLOFENAC,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
DICLOFENAC DIETHYLAMINE,CCNCC.C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
DICLOFENAC POTASSIUM,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[K+]
DICLOFENAC SODIUM,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+]
DICLOFENAC SODIUM\MISOPROSTOL,
DICYCLOMINE,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
DICYCLOMINE HYDROCHLORIDE,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
DIENOGEST\ESTRADIOL VALERATE,
DIETARY SUPPLEMENT,
DIETHYLPROPION HYDROCHLORIDE,CCN(CC)C(C)C(=O)C1=CC=CC=C1.Cl
DIFELIKEFALIN,CC(C)C[C@H](C(=O)N[C@H](CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](CC3=CC=CC=C3)N
DIFELIKEFALIN ACETATE,CC(C)C[C@H](C(=O)N[C@H](CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](CC3=CC=CC=C3)N.CC(=O)O
DIFFERIN,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
DIFFERIN GEL,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
DIFICID,CC[C@H]1/C=C(/[C@H](C/C=C/C=C(/C(=O)O[C@@H](C/C=C(/C=C(/[C@@H]1O[C@H]2[C@H]([C@H]([C@@H](C(O2)(C)C)OC(=O)C(C)C)O)O)\C)\C)[C@@H](C)O)\CO[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)\C
DIFLUCAN,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
DIFLUPREDNATE,CCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C(=O)COC(=O)C
DIGOXIN,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
DIHYDROERGOTAMINE,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C
DIHYDROERGOTAMINE MESYLATE,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O
DIHYDROXYACETONE,C(C(=O)CO)O
DILANTIN,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
DILAUDID,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4
DILTIAZEM,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC
DILTIAZEM HYDROCHLORIDE,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl
DIMENHYDRINATE,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
DIMETHYL ETHER\PROPANE,
DIMETHYL FUMARATE,COC(=O)/C=C/C(=O)OC
DIMETHYL SULFONE,CS(=O)(=O)C
DINOPROSTONE,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
DIOVAN,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O
DIOVAN HCT,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O.C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
DIPHENHYDRAMINE,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
DIPHENHYDRAMINE HYDROCHLORIDE,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl
DIPHENHYDRAMINE\IBUPROFEN,
DIPRIVAN,CC(C)C1=C(C(=CC=C1)C(C)C)O
DIPROSONE,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)OC(=O)CC
DIPROSPAN,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)OC(=O)CC
DIPYRIDAMOLE,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
DISOPYRAMIDE,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
DISOPYRAMIDE PHOSPHATE,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C.OP(=O)(O)O
DISULFIRAM,CCN(CC)C(=S)SSC(=S)N(CC)CC
DITROPAN XL,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.Cl
DIUREX ULTRA,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
DIVALPROEX SODIUM,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
DIVALPROEX SODIUM ER,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
DIVIGEL,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
DOANS MAXIMUM STRENGTH,C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2]
DOBUTAMINE,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O
DOBUTAMINE HYDROCHLORIDE,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O.Cl
DOCETAXEL,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
DOCIVYX,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
DOCOSANOL,CCCCCCCCCCCCCCCCCCCCCCO
DOCUSATE,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O
DOFETILIDE,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
DOJOLVI,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC
DOLUTEGRAVIR,C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O
DOLUTEGRAVIR SODIUM\LAMIVUDINE,
DOLUTEGRAVIR\LAMIVUDINE\TENOFOVIR DISOPROXIL FUMARATE,
DOMPERIDONE,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
DONANEMAB,
DONANEMAB-AZBT,
DONEPEZIL,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
DONEPEZIL HYDROCHLORIDE,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC.Cl
DOPAMINE,C1=CC(=C(C=C1CCN)O)O
DOPAMINE HYDROCHLORIDE,C1=CC(=C(C=C1CCN)O)O.Cl
DOPTELET,C1CCC(CC1)N2CCN(CC2)C3=C(N=C(S3)NC(=O)C4=CC(=C(N=C4)N5CCC(CC5)C(=O)O)Cl)C6=CC(=CS6)Cl
DORAVIRINE,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F
DORNASE ALFA,
DORYX,CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl.Cl
DORZOLAMIDE,CCN[C@H]1C[C@@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
DORZOLAMIDE AND TIMOLOL,
DORZOLAMIDE HYDROCHLORIDE,CCN[C@H]1C[C@@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl
DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,CCN[C@@H]1C[C@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O
DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE OPHTHALMIC SOLUTION,
DORZOLAMIDE HYDROCHLORIDE OPHTHALMIC SOLUTION,
DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE,
DORZOLAMIDE\TIMOLOL,
DOSTARLIMAB,
DOSTINEX,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C
DOTAREM,CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.C1CN(CCN(CCN(CCN1CC(=O)O)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3]
DOTTI,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
DOVATO,C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-].[Na+]
DOVE,CCO
DOXAZOSIN,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
DOXAZOSIN MESYLATE,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O
DOXECITINE\DOXRIBTIMINE,
DOXEPIN,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
DOXEPIN HYDROCHLORIDE,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31.Cl
DOXIL,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
DOXORUBICIN,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
DOXORUBICIN HYDROCHLORIDE,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
DOXYCYCLINE,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
